Date,Title and Day Published,Days Since Published,Daily Views,Daily Likes,Daily Comments
1/26/23,We Are Better Than Dude Perfect - (2017-06-24),2041,2539,83,-7
1/26/23,Every Challenge I've Ever Done - (2017-06-23),2042,134,5,0
1/26/23,Watching It's Everyday Bro For 10 Hours Straight - (2017-06-17),2048,2324,62,-1
1/26/23,"Giving A Random Homeless Man $10,000 - (2017-06-15)",2050,673,35,-1
1/26/23,Toothpaste Life Hacks YOU SHOULD KNOW - (2017-06-13),2052,222,3,0
1/26/23,"Reading The Longest English Word (190,000 Characters) - (2017-06-02)",2063,20558,100,-5
1/26/23,Fidget Spinner Vs Face (Legit Had To Get Stitches) - (2017-05-02),2094,7664,238,-9
1/26/23,Grilling A Microwave Microwaving A Microwave Microwaving A Toaster Toasting An Iphone Watching Micro - (2017-03-30),2127,284,5,0
1/26/23,#1 MOST INSANE MAGNET LIFE HACK EVER - (2017-03-24),2133,544,5,-2
1/26/23,Watching Dance Till You're Dead For 10 Hours - (2017-03-21),2136,16720,829,
1/26/23,I Can't Break My Strange Addiction - (2017-03-19),2138,197,3,0
1/26/23,OMG! INSANE CUP FORT - (2017-03-14),2143,371,13,0
1/26/23,Savage Level 9000 - (2017-03-08),2149,259,12,-1
1/26/23,Reading The Youtube Terms Of Service - (2017-03-07),2150,91,3,0
1/26/23,Reacting To The Reaction Of The Reaction To The Reaction Of The Reaction Of The Reaction To The Reac - (2017-02-21),2164,217,10,-2
1/26/23,"Counting To 200,000 (Road To A Mil) - (2017-02-17)",2168,655,30,-2
1/26/23,Microwaving Dry Ice (Microwave Explodes) - (2017-02-09),2176,164,6,0
1/26/23,"I Counted To 100,000! - (2017-01-08)",2208,6250,250,5
1/26/23,we are number one but every one is a bad intro - (2016-12-24),2223,144,5,0
1/26/23,Microwaving A Microwave Microwaving A Toaster - (2016-12-22),2225,273,12,-1
1/26/23,HOW TO UNLOCK ANY IPHONE WITHOUT THE PASSCODE - (2016-12-20),2227,269,3,-12
1/26/23,WHY DO THEY SELL THIS ON AMAZON? - (2016-12-17),2230,508,22,0
