Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
"Whatever You Buy, I'll Pay For! - (2020-11-02)","Whatever You Buy, I'll Pay For!",2020-11-02,2020-11-02 14:00:53,802,39810874,49639.5,904839,0.02273,28391,0.00071,601,10.017
"Among Us But PewDiePie Goes 90,000 IQ! - (2020-10-31)","Among Us But PewDiePie Goes 90,000 IQ!",2020-10-31,2020-10-31 14:04:13,804,49994200,62181.8,1091434,0.02183,38885,0.00078,614,10.233
Breaking As Many Laws As Possible in 1 Hour! - (2020-10-28),Breaking As Many Laws As Possible in 1 Hour!,2020-10-28,2020-10-28 17:34:56,807,24535873,30403.8,611437,0.02492,27839,0.00113,616,10.267
"Among Us But Every Winner Gets $10,000! - (2020-10-23)","Among Us But Every Winner Gets $10,000!",2020-10-23,2020-10-23 13:00:01,812,22162332,27293.5,684976,0.03091,25729,0.00116,504,8.4
"I Made a $20,000 Among Us Challenge! - (2020-10-21)","I Made a $20,000 Among Us Challenge!",2020-10-21,2020-10-21 13:02:15,814,31310591,38465.1,778519,0.02486,29545,0.00094,626,10.433
Win This Game & I'll Give You a Tesla! - (2020-10-18),Win This Game & I'll Give You a Tesla!,2020-10-18,2020-10-18 14:04:17,817,17194653,21046.1,535974,0.03117,30810,0.00179,657,10.95
Among Us With 100 Real Players! - (2020-10-16),Among Us With 100 Real Players!,2020-10-16,2020-10-16 13:36:36,819,61552900,75156.2,1256780,0.02042,46923,0.00076,613,10.217
I Visited All 7 Wonders of The World! - (2020-10-11),I Visited All 7 Wonders of The World!,2020-10-11,2020-10-11 14:31:20,824,22239835,26990.1,672427,0.03024,658590,0.02961,606,10.1
"Among Us but LazarBeam Goes 4,000 IQ! - (2020-10-08)","Among Us but LazarBeam Goes 4,000 IQ!",2020-10-08,2020-10-08 13:43:36,827,47414084,57332.6,1128881,0.02381,49119,0.00104,601,10.017
The Funniest Challenge in Watch Dogs: Legion! - (2020-10-06),The Funniest Challenge in Watch Dogs: Legion!,2020-10-06,2020-10-06 13:01:28,829,9776623,11793.3,335927,0.03436,17654,0.00181,608,10.133
I Went on a 900 IQ Rampage in Among Us! - (2020-10-04),I Went on a 900 IQ Rampage in Among Us!,2020-10-04,2020-10-04 13:19:41,831,47371674,57005.6,1114220,0.02352,41952,0.00089,607,10.117
The Best Rocket League Game Ever! - (2020-10-02),The Best Rocket League Game Ever!,2020-10-02,2020-10-02 13:56:05,833,39099224,46937.8,735630,0.01881,59178,0.00151,602,10.033
I Made Minecraft Only 1 Block Wide! - (2020-09-30),I Made Minecraft Only 1 Block Wide!,2020-09-30,2020-09-30 14:01:50,835,48842901,58494.5,895734,0.01834,49244,0.00101,633,10.55
Among Us But Dream Goes 900 IQ! - (2020-09-27),Among Us But Dream Goes 900 IQ!,2020-09-27,2020-09-27 12:25:45,838,67992739,81136.9,1410306,0.02074,42930,0.00063,612,10.2
The Worst GTA 5 Graphics! - (2020-09-25),The Worst GTA 5 Graphics!,2020-09-25,2020-09-25 13:01:28,840,41835953,49804.7,938519,0.02243,89755,0.00215,753,12.55
The Most Insane 900 IQ Among Us Outplay! - (2020-09-22),The Most Insane 900 IQ Among Us Outplay!,2020-09-22,2020-09-22 12:45:34,843,75662788,89754.2,1583363,0.02093,50639,0.00067,609,10.15
Can You Stop The Train in GTA 5? - (2020-09-20),Can You Stop The Train in GTA 5?,2020-09-20,2020-09-20 12:38:53,845,61451468,72723.6,1457004,0.02371,1908365,0.03105,663,11.05
"Make This Jump and I'll Give you $10,000! - (2020-09-18)","Make This Jump and I'll Give you $10,000!",2020-09-18,2020-09-18 13:00:47,847,23181096,27368.5,658853,0.02842,24174,0.00104,606,10.1
I Made a 100 Player Skyblock Challenge! - (2020-09-16),I Made a 100 Player Skyblock Challenge!,2020-09-16,2020-09-16 14:20:18,849,50265009,59205.0,880773,0.01752,30182,0.0006,687,11.45
