Title and Day Published,Title,Publish Date,Publish Time (EST),Days Since Published,Views,Views per Day,Likes,Like to View Ratio,Comments,Comment to View Ratio,Duration in Seconds,Duration in Minutes
The Funniest Challenge in Watch Dogs: Legion! - (2020-10-06),The Funniest Challenge in Watch Dogs: Legion!,2020-10-06,2020-10-06 13:01:28,838,9788685,11681.0,336103,0.034335868403161406,17515,0.0017893108216272156,608,10.133
I Went on a 900 IQ Rampage in Among Us! - (2020-10-04),I Went on a 900 IQ Rampage in Among Us!,2020-10-04,2020-10-04 13:19:41,840,47467451,56508.9,1115446,0.02349917630925663,41874,0.0008821623895498412,607,10.117
The Best Rocket League Game Ever! - (2020-10-02),The Best Rocket League Game Ever!,2020-10-02,2020-10-02 13:56:05,842,39245052,46609.3,736892,0.01877668552968155,59047,0.0015045718374892202,602,10.033
I Made Minecraft Only 1 Block Wide! - (2020-09-30),I Made Minecraft Only 1 Block Wide!,2020-09-30,2020-09-30 14:01:50,844,48992675,58048.2,896904,0.01830689996004505,49210,0.001004435867198515,633,10.55
Among Us But Dream Goes 900 IQ! - (2020-09-27),Among Us But Dream Goes 900 IQ!,2020-09-27,2020-09-27 12:25:45,847,68117201,80421.7,1411869,0.020727055417324034,42924,0.0006301492041635709,612,10.2
The Worst GTA 5 Graphics! - (2020-09-25),The Worst GTA 5 Graphics!,2020-09-25,2020-09-25 13:01:28,849,42007574,49478.9,941759,0.022418790478117113,89721,0.002135829124528829,753,12.55
The Most Insane 900 IQ Among Us Outplay! - (2020-09-22),The Most Insane 900 IQ Among Us Outplay!,2020-09-22,2020-09-22 12:45:34,852,75857723,89034.9,1585430,0.02090004731621064,50642,0.0006675918811852552,609,10.15
Can You Stop The Train in GTA 5? - (2020-09-20),Can You Stop The Train in GTA 5?,2020-09-20,2020-09-20 12:38:53,854,61648505,72187.9,1459274,0.023670874095000356,1908189,0.030952721400137766,663,11.05
"Make This Jump and I'll Give you $10,000! - (2020-09-18)","Make This Jump and I'll Give you $10,000!",2020-09-18,2020-09-18 13:00:47,856,23221212,27127.6,659602,0.028405149567559178,24173,0.001040987869194769,606,10.1
I Made a 100 Player Skyblock Challenge! - (2020-09-16),I Made a 100 Player Skyblock Challenge!,2020-09-16,2020-09-16 14:20:18,858,50384217,58722.9,882243,0.01751030486392197,30158,0.0005985604579307048,687,11.45
"Minecraft, But Everything is 100x Faster! - (2020-09-12)","Minecraft, But Everything is 100x Faster!",2020-09-12,2020-09-12 12:33:15,862,43539971,50510.4,726395,0.016683405691749312,30214,0.000693937072213484,621,10.35
I Installed The GTA V Chaos Mod! - (2020-09-09),I Installed The GTA V Chaos Mod!,2020-09-09,2020-09-09 13:00:19,865,53855228,62260.4,917455,0.01703557916419925,31360,0.0005823018704887852,638,10.633
I Made My Own Country In Minecraft! - (2020-09-07),I Made My Own Country In Minecraft!,2020-09-07,2020-09-07 13:01:14,867,40420439,46621.0,749917,0.018552915766204322,27701,0.0006853216017767645,603,10.05
